자전거번호,대여일시,대여 대여소번호,대여 대여소명,대여거치대,반납일시,반납대여소번호,반납대여소명,반납거치대,이용시간,이용거리
SPB-07205,2019.11.2 18:30,00175,홍연2교옆,18,2019.11.2 18:52,00101,(구)합정동 주민센터,1,21,6750
SPB-08676,2019.11.2 18:51,00101,(구)합정동 주민센터,1,2019.11.2 19:11,00101,(구)합정동 주민센터,1,17,1320
SPB-07205,2019.11.2 20:24,00101,(구)합정동 주민센터,1,2019.11.2 20:41,00101,(구)합정동 주민센터,1,16,1470
SPB-07402,2019.11.2 19:54,00101,(구)합정동 주민센터,3,2019.11.2 21:01,00101,(구)합정동 주민센터,4,65,2280
SPB-04854,2019.11.2 19:52,00101,(구)합정동 주민센터,5,2019.11.2 21:01,00101,(구)합정동 주민센터,2,68,2300
SPB-08676,2019.11.2 19:53,00101,(구)합정동 주민센터,1,2019.11.2 21:13,00101,(구)합정동 주민센터,1,69,2230
SPB-12120,2019.11.2 20:30,00419,홈플러스 앞,15,2019.11.2 21:14,00101,(구)합정동 주민센터,5,44,4200
SPB-03614,2019.11.2 20:28,00419,홈플러스 앞,13,2019.11.2 21:15,00101,(구)합정동 주민센터,3,46,5720
SPB-06590,2019.11.2 21:00,00182,망원2빗물펌프장 앞,2,2019.11.2 21:23,00101,(구)합정동 주민센터,1,22,2580
SPB-07497,2019.11.2 21:22,03102,연희삼거리,9,2019.11.2 21:41,00101,(구)합정동 주민센터,5,17,3410
SPB-22287,2019.11.2 22:56,00112,극동방송국 앞,2,2019.11.2 23:09,00101,(구)합정동 주민센터,2,12,1610
SPB-23827,2019.11.2 23:14,00113,홍대입구역 2번출구 앞,11,2019.11.2 23:26,00101,(구)합정동 주민센터,3,11,1850
SPB-11003,2019.11.2 23:45,00102,망원역 1번출구 앞,9,2019.11.2 23:52,00101,(구)합정동 주민센터,2,6,970
SPB-09782,2019.11.2 23:35,00129,신촌역(2호선) 6번출구 옆,2,2019.11.2 23:55,00101,(구)합정동 주민센터,5,18,3080
SPB-17282,2019.11.2 23:56,00113,홍대입구역 2번출구 앞,11,2019.11.3 00:07,00101,(구)합정동 주민센터,3,11,2270
SPB-22781,2019.11.2 23:26,00113,홍대입구역 2번출구 앞,10,2019.11.3 00:09,00101,(구)합정동 주민센터,5,42,4630
SPB-11651,2019.11.2 23:54,00228,선유도역 3번출구 앞,8,2019.11.3 00:09,00101,(구)합정동 주민센터,3,15,2290
SPB-17117,2019.11.3 00:08,00102,망원역 1번출구 앞,10,2019.11.3 00:17,00101,(구)합정동 주민센터,2,9,1110
SPB-22287,2019.11.3 08:56,00101,(구)합정동 주민센터,2,2019.11.3 09:28,00101,(구)합정동 주민센터,1,30,1410
SPB-01372,2019.11.3 09:48,00182,망원2빗물펌프장 앞,7,2019.11.3 10:48,00101,(구)합정동 주민센터,4,59,4370
SPB-15238,2019.11.3 10:29,00139,연세대 정문 건너편,12,2019.11.3 10:53,00101,(구)합정동 주민센터,2,24,3820
SPB-10191,2019.11.3 11:56,00105,합정역 5번출구 앞,5,2019.11.3 12:35,00101,(구)합정동 주민센터,4,38,1610
